Date,Open,High,Low,Close,Volume
2022-01-03 05:00:00+00:00,476.3,477.85,473.85,477.71,74528525.0
2022-01-04 05:00:00+00:00,479.22,479.98,475.58,477.55,72231283.0
2022-01-05 05:00:00+00:00,477.16,477.98,468.2801,468.38,104678064.0
2022-01-06 05:00:00+00:00,467.89,470.82,465.43,467.94,87839262.0
2022-01-07 05:00:00+00:00,467.95,469.2,464.65,466.09,86364246.0
2022-01-10 05:00:00+00:00,462.7,465.74,456.5973,465.51,120649890.0
2022-01-11 05:00:00+00:00,465.23,469.85,462.05,469.73,75431095.0
2022-01-12 05:00:00+00:00,471.59,473.2,468.94,471.02,68702010.0
2022-01-13 05:00:00+00:00,472.19,472.88,463.44,464.53,93589296.0
2022-01-14 05:00:00+00:00,461.19,465.09,459.9,464.72,97790736.0
2022-01-18 05:00:00+00:00,459.74,459.96,455.31,456.49,111733633.0
2022-01-19 05:00:00+00:00,458.13,459.6124,451.46,451.75,111279125.0
2022-01-20 05:00:00+00:00,453.75,458.74,444.5,446.75,125194304.0
2022-01-21 05:00:00+00:00,445.56,448.06,437.95,437.98,204630712.0
2022-01-24 05:00:00+00:00,432.03,440.38,420.76,439.84,254361526.0
2022-01-25 05:00:00+00:00,433.06,439.72,427.15,434.47,170145104.0
2022-01-26 05:00:00+00:00,440.72,444.04,428.86,433.38,188214247.0
2022-01-27 05:00:00+00:00,438.26,441.59,429.45,431.24,151882702.0
2022-01-28 05:00:00+00:00,432.68,442.0,427.82,441.95,166791322.0
2022-01-31 05:00:00+00:00,441.24,450.28,439.81,449.91,155582114.0
2022-02-01 05:00:00+00:00,450.68,453.63,446.9384,452.95,125134995.0
2022-02-02 05:00:00+00:00,455.5,458.12,453.05,457.35,119044971.0
2022-02-03 05:00:00+00:00,450.95,452.97,445.71,446.6,120198289.0
2022-02-04 05:00:00+00:00,446.35,452.78,443.83,448.7,120819408.0
2022-02-07 05:00:00+00:00,449.51,450.99,445.85,447.26,86449092.0
2022-02-08 05:00:00+00:00,446.73,451.92,445.22,450.94,83185793.0
2022-02-09 05:00:00+00:00,455.22,457.88,455.005,457.54,95013879.0
2022-02-10 05:00:00+00:00,451.34,457.71,447.2,449.32,142919007.0
2022-02-11 05:00:00+00:00,449.41,451.605,438.94,440.46,156004637.0
2022-02-14 05:00:00+00:00,439.92,441.6,435.34,439.02,125379755.0
2022-02-15 05:00:00+00:00,443.73,446.28,443.18,446.1,91232544.0
2022-02-16 05:00:00+00:00,443.93,448.055,441.94,446.6,84978171.0
2022-02-17 05:00:00+00:00,443.22,446.5652,436.42,437.06,102416116.0
2022-02-18 05:00:00+00:00,437.33,438.66,431.82,434.23,132619100.0
2022-02-22 05:00:00+00:00,431.89,435.5,425.86,429.57,126971668.0
2022-02-23 05:00:00+00:00,432.66,433.26,421.35,422.07,132864067.0
2022-02-24 05:00:00+00:00,411.02,428.76,410.64,427.99,220033458.0
2022-02-25 05:00:00+00:00,429.61,437.84,427.86,437.75,123640399.0
2022-02-28 05:00:00+00:00,432.03,438.2,430.7,436.63,149221337.0
2022-03-01 05:00:00+00:00,435.04,437.17,427.11,429.98,139991559.0
2022-03-02 05:00:00+00:00,432.37,439.72,431.57,437.89,120234911.0
2022-03-03 05:00:00+00:00,440.47,441.11,433.8,435.71,105501865.0
2022-03-04 05:00:00+00:00,431.75,433.37,427.88,432.17,113974262.0
2022-03-07 05:00:00+00:00,431.55,432.3018,419.36,419.43,138047941.0
2022-03-08 05:00:00+00:00,419.62,427.21,415.12,416.25,167638902.0
2022-03-09 05:00:00+00:00,425.14,429.51,422.82,427.41,117271076.0
2022-03-10 05:00:00+00:00,422.52,426.43,420.44,425.48,95329689.0
2022-03-11 05:00:00+00:00,428.12,428.77,419.53,420.07,95687775.0
2022-03-14 04:00:00+00:00,420.89,424.55,415.79,417.0,95874528.0
2022-03-15 04:00:00+00:00,419.77,426.84,418.42,426.17,108235310.0
2022-03-16 04:00:00+00:00,429.89,435.68,424.8,435.62,144954949.0
2022-03-17 04:00:00+00:00,433.59,441.07,433.19,441.07,104062578.0
2022-03-18 04:00:00+00:00,438.0,444.86,437.22,444.52,106542902.0
2022-03-21 04:00:00+00:00,444.34,446.46,440.68,444.39,88839174.0
2022-03-22 04:00:00+00:00,445.86,450.58,445.86,449.59,76931148.0
2022-03-23 04:00:00+00:00,446.91,448.49,443.71,443.8,81316132.0
2022-03-24 04:00:00+00:00,445.94,450.5,444.76,450.49,64917269.0
2022-03-25 04:00:00+00:00,451.16,452.98,448.43,452.69,77990305.0
2022-03-28 04:00:00+00:00,452.06,455.91,450.06,455.84,71058111.0
2022-03-29 04:00:00+00:00,460.02,462.07,457.18,461.53,91635758.0
2022-03-30 04:00:00+00:00,460.34,461.195,456.465,458.79,82462768.0
2022-03-31 04:00:00+00:00,457.89,458.76,451.16,451.64,121830006.0
2022-04-01 04:00:00+00:00,453.31,453.46,449.14,452.92,90526299.0
2022-04-04 04:00:00+00:00,453.13,456.91,452.26,456.8,61390954.0
2022-04-05 04:00:00+00:00,455.22,457.83,449.82,451.03,75760010.0
2022-04-06 04:00:00+00:00,446.89,448.93,443.47,446.52,107084639.0
2022-04-07 04:00:00+00:00,445.59,450.69,443.53,448.77,78235837.0
2022-04-08 04:00:00+00:00,447.97,450.63,445.94,447.57,79354344.0
2022-04-11 04:00:00+00:00,444.11,445.0,439.39,439.92,92393812.0
2022-04-12 04:00:00+00:00,443.08,445.75,436.6501,438.29,85677975.0
2022-04-13 04:00:00+00:00,438.03,444.11,437.84,443.31,75731466.0
2022-04-14 04:00:00+00:00,443.55,444.7301,437.68,437.79,100061421.0
2022-04-18 04:00:00+00:00,436.81,439.75,435.61,437.97,67080101.0
2022-04-19 04:00:00+00:00,437.86,445.8,437.68,445.04,79209141.0
2022-04-20 04:00:00+00:00,446.92,447.57,443.48,444.71,66224261.0
2022-04-21 04:00:00+00:00,448.54,450.01,437.1,438.06,86898329.0
2022-04-22 04:00:00+00:00,436.91,438.0825,425.44,426.04,134318097.0
2022-04-25 04:00:00+00:00,423.67,428.69,418.84,428.51,121150668.0
2022-04-26 04:00:00+00:00,425.83,426.04,416.07,416.1,104173893.0
2022-04-27 04:00:00+00:00,417.24,422.92,415.01,417.27,122342063.0
2022-04-28 04:00:00+00:00,422.29,429.64,417.6,427.81,107789356.0
2022-04-29 04:00:00+00:00,423.59,425.87,411.21,412.0,148702518.0
2022-05-02 04:00:00+00:00,412.07,415.92,405.02,414.48,160312749.0
2022-05-03 04:00:00+00:00,415.01,418.93,413.36,416.38,102021088.0
2022-05-04 04:00:00+00:00,417.08,429.66,413.7099,429.06,146219632.0
2022-05-05 04:00:00+00:00,424.55,425.0,409.44,413.81,175971084.0
2022-05-06 04:00:00+00:00,411.1,414.8,405.73,411.34,153284691.0
